ds,Crop,State,yhat,yhat_lower,yhat_upper
2000-01-01,Arecanut,Andaman and Nicobar Island,4464.797076466277,2174.312180527313,7034.370681538624
2001-01-01,Arecanut,Andaman and Nicobar Island,5530.798290476514,3050.724746207786,8039.578980948354
2002-01-01,Arecanut,Andaman and Nicobar Island,5568.768176045598,3143.672982930273,7999.789749343168
2003-01-01,Arecanut,Andaman and Nicobar Island,5598.98762132788,3069.881137577702,7855.135864754087
2004-01-01,Arecanut,Andaman and Nicobar Island,5621.77430963504,3284.8216642854773,7993.7996774176845
2005-01-01,Arecanut,Andaman and Nicobar Island,6687.7755237054125,4363.5983541457435,9090.667910408902
2006-01-01,Arecanut,Andaman and Nicobar Island,6725.745409340281,4180.16840511369,9301.511022621307
2007-01-01,Arecanut,Andaman and Nicobar Island,6755.964854658401,4268.602485713238,9108.363884657258
2008-01-01,Arecanut,Andaman and Nicobar Island,6778.751543015069,4378.807481443667,9340.463118227543
2009-01-01,Arecanut,Andaman and Nicobar Island,7844.752758258814,5554.2952136053855,10068.169085814136
2010-01-01,Arecanut,Andaman and Nicobar Island,7882.722645232869,5376.32003128949,10337.368774012932
2011-01-01,Arecanut,Andaman and Nicobar Island,7912.942092086848,5527.138617234246,10388.98796925491
2012-01-01,Arecanut,Andaman and Nicobar Island,7935.728781871954,5713.227365557282,10297.983845464301
2013-01-01,Arecanut,Andaman and Nicobar Island,9001.729997492712,6481.154823560747,11410.423574290928
2014-01-01,Arecanut,Andaman and Nicobar Island,9039.699884728814,6695.086584598766,11382.464406477016
2015-01-01,Arecanut,Andaman and Nicobar Island,9069.919331689882,6583.290705627834,11445.440172373377
2016-01-01,Arecanut,Andaman and Nicobar Island,9092.706021523347,6597.6386665651435,11590.813120896231
2017-01-01,Arecanut,Andaman and Nicobar Island,10158.70723707548,7681.050928254565,12635.347889420831
2018-01-01,Arecanut,Andaman and Nicobar Island,10196.677124274856,7791.819014155162,12555.27449863921
2019-01-01,Arecanut,Andaman and Nicobar Island,10226.896570972445,7821.453025409223,12575.468380219743
2021-01-01,Arecanut,Andaman and Nicobar Island,11315.684475762206,9042.321227995748,13711.988985199416
