Crop,State,Crop_Year,Production
Arecanut,Andaman and Nicobar Island,2000,7200.0
Arecanut,Andaman and Nicobar Island,2001,7300.0
Arecanut,Andaman and Nicobar Island,2002,7350.0
Arecanut,Andaman and Nicobar Island,2003,6707.0
Arecanut,Andaman and Nicobar Island,2004,4781.0
Arecanut,Andaman and Nicobar Island,2005,3058.0
Arecanut,Andaman and Nicobar Island,2006,5840.0
Arecanut,Andaman and Nicobar Island,2007,5692.0
Arecanut,Andaman and Nicobar Island,2008,5720.0
Arecanut,Andaman and Nicobar Island,2009,5200.0
Arecanut,Andaman and Nicobar Island,2010,5800.0
Arecanut,Andaman and Nicobar Island,2011,5950.0
Arecanut,Andaman and Nicobar Island,2012,5976.0
Arecanut,Andaman and Nicobar Island,2013,9967.0
Arecanut,Andaman and Nicobar Island,2014,9349.0
Arecanut,Andaman and Nicobar Island,2015,10328.0
Arecanut,Andaman and Nicobar Island,2016,10608.0
Arecanut,Andaman and Nicobar Island,2017,15283.0
Arecanut,Andaman and Nicobar Island,2018,12390.0
Arecanut,Andaman and Nicobar Island,2019,10589.0
Arecanut,Andaman and Nicobar Island,2021,10684.75
Arecanut,Andaman and Nicobar Island,2022,10764.65
Arecanut,Andaman and Nicobar Island,2023,11122.35
Arecanut,Andaman and Nicobar Island,2024,11141.27
Arecanut,Andaman and Nicobar Island,2025,11214.15
Arecanut,Andhra Pradesh,2000,724.0
Arecanut,Andhra Pradesh,2001,449.0
Arecanut,Andhra Pradesh,2002,427.0
Arecanut,Andhra Pradesh,2003,221.0
Arecanut,Andhra Pradesh,2005,234.0
Arecanut,Andhra Pradesh,2006,176.0
Arecanut,Andhra Pradesh,2008,265.0
Arecanut,Andhra Pradesh,2009,198.0
Arecanut,Andhra Pradesh,2010,195.0
Arecanut,Andhra Pradesh,2011,275.0
Arecanut,Andhra Pradesh,2012,365.0
Arecanut,Andhra Pradesh,2013,255.0
Arecanut,Andhra Pradesh,2014,338.0
Arecanut,Andhra Pradesh,2015,1795.0
Arecanut,Andhra Pradesh,2016,2367.0
